profile_id_1,profile_id_2,pair_ID,wage_1,wage_2,mangender_1,mangender_2,flexschedule_1,flexschedule_2,parental_1,parental_2,skillsdev_1,skillsdev_2
2,50,139,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,moderate
2,51,140,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,high
2,52,141,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,53,142,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,moderate
2,54,143,-5%,-5%,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,high
2,55,144,-5%,same,M,M,no influence,no influence,no additional leave,no additional leave,moderate,low
2,58,145,-5%,same,M,M,no influence,no influence,no additional leave,3 extra days,moderate,low
2,61,146,-5%,same,M,M,no influence,no influence,no additional leave,one extra week,moderate,low
2,64,147,-5%,same,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,67,148,-5%,same,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,70,149,-5%,same,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,73,150,-5%,same,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,76,151,-5%,same,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,79,152,-5%,same,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,82,153,-5%,same,M,F,no influence,no influence,no additional leave,no additional leave,moderate,low
2,83,154,-5%,same,M,F,no influence,no influence,no additional leave,no additional leave,moderate,moderate
2,84,155,-5%,same,M,F,no influence,no influence,no additional leave,no additional leave,moderate,high
2,85,156,-5%,same,M,F,no influence,no influence,no additional leave,3 extra days,moderate,low
2,86,157,-5%,same,M,F,no influence,no influence,no additional leave,3 extra days,moderate,moderate
2,87,158,-5%,same,M,F,no influence,no influence,no additional leave,3 extra days,moderate,high
2,88,159,-5%,same,M,F,no influence,no influence,no additional leave,one extra week,moderate,low
2,89,160,-5%,same,M,F,no influence,no influence,no additional leave,one extra week,moderate,moderate
2,90,161,-5%,same,M,F,no influence,no influence,no additional leave,one extra week,moderate,high
2,91,162,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,92,163,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,moderate
2,93,164,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,high
2,94,165,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,95,166,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,moderate
2,96,167,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,high
2,97,168,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,98,169,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,moderate
2,99,170,-5%,same,M,F,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,high
2,100,171,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,101,172,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,moderate
2,102,173,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,high
2,103,174,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,104,175,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,moderate
2,105,176,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,high
2,106,177,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,107,178,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,moderate
2,108,179,-5%,same,M,F,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,high
2,109,180,-5%,+5%,M,M,no influence,no influence,no additional leave,no additional leave,moderate,low
2,112,181,-5%,+5%,M,M,no influence,no influence,no additional leave,3 extra days,moderate,low
2,115,182,-5%,+5%,M,M,no influence,no influence,no additional leave,one extra week,moderate,low
2,118,183,-5%,+5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,no additional leave,moderate,low
2,121,184,-5%,+5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,3 extra days,moderate,low
2,124,185,-5%,+5%,M,M,no influence,1 hour flexibility at start and end of workday,no additional leave,one extra week,moderate,low
2,127,186,-5%,+5%,M,M,no influence,entirely flexible schedue,no additional leave,no additional leave,moderate,low
2,130,187,-5%,+5%,M,M,no influence,entirely flexible schedue,no additional leave,3 extra days,moderate,low
2,133,188,-5%,+5%,M,M,no influence,entirely flexible schedue,no additional leave,one extra week,moderate,low
2,136,189,-5%,+5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,low
2,137,190,-5%,+5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,moderate
2,138,191,-5%,+5%,M,F,no influence,no influence,no additional leave,no additional leave,moderate,high
2,139,192,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,low
2,140,193,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,moderate
2,141,194,-5%,+5%,M,F,no influence,no influence,no additional leave,3 extra days,moderate,high
2,142,195,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,low
2,143,196,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,moderate
2,144,197,-5%,+5%,M,F,no influence,no influence,no additional leave,one extra week,moderate,high
